pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
0.16619,0.607889,-1.83623,0.0290576,0.107472,0.607889,All
0.168525,0.610209,-1.83608,0.029168,0.124541,0.610209,All
0.172396,0.612529,-1.83048,0.0292785,0.129344,0.612529,All
0.175902,0.614849,-1.82692,0.029389,0.129601,0.614849,All
0.175955,0.617169,-1.8268,0.0294995,0.131961,0.617169,All
0.176648,0.61949,-1.8255,0.02961,0.140385,0.61949,All
0.177848,0.62181,-1.82535,0.0297205,0.143003,0.62181,All
0.179057,0.62413,-1.82366,0.029831,0.146882,0.62413,All
0.198095,0.62645,-1.82323,0.0299414,0.148069,0.62645,All
0.200274,0.62877,-1.8222,0.0300519,0.149419,0.62877,All
0.201487,0.63109,-1.82144,0.0301624,0.151627,0.63109,All
0.208248,0.633411,-1.82114,0.0302729,0.161399,0.633411,All
0.208694,0.635731,-1.81954,0.0303834,0.162877,0.635731,All
0.211737,0.638051,-1.81891,0.0304939,0.164507,0.638051,All
0.211761,0.640371,-1.81807,0.0306044,0.169379,0.640371,All
0.222841,0.642691,-1.81783,0.0307148,0.169614,0.642691,All
0.230216,0.645012,-1.81413,0.0308253,0.171955,0.645012,All
0.233185,0.647332,-1.81329,0.0309358,0.197484,0.647332,All
0.2383,0.649652,-1.81165,0.0310463,0.197547,0.649652,All
0.23937,0.651972,-1.81153,0.0311568,0.199799,0.651972,All
0.248951,0.654292,-1.8105,0.0312673,0.202352,0.654292,All
0.250469,0.656613,-1.80644,0.0313777,0.202505,0.656613,All
0.258441,0.658933,-1.80623,0.0314882,0.20281,0.658933,All
0.258488,0.661253,-1.80298,0.0315987,0.204935,0.661253,All
0.260137,0.663573,-1.80271,0.0317092,0.205898,0.663573,All
0.267052,0.665893,-1.79743,0.0318197,0.210086,0.665893,All
0.270275,0.668213,-1.79559,0.0319302,0.212191,0.668213,All
0.274765,0.670534,-1.79472,0.0320407,0.212744,0.670534,All
0.275776,0.672854,-1.79419,0.0321511,0.214317,0.672854,All
0.282262,0.675174,-1.79416,0.0322616,0.221509,0.675174,All
0.284181,0.677494,-1.79405,0.0323721,0.221843,0.677494,All
0.286622,0.679814,-1.79078,0.0324826,0.223869,0.679814,All
0.295451,0.682135,-1.78946,0.0325931,0.22433,0.682135,All
0.296252,0.684455,-1.78794,0.0327036,0.24321,0.684455,All
0.307116,0.686775,-1.78756,0.0328141,0.248854,0.686775,All
0.312939,0.689095,-1.78698,0.0329245,0.252565,0.689095,All
0.334389,0.691415,-1.78695,0.033035,0.25353,0.691415,All
0.334659,0.693735,-1.78647,0.0331455,0.263266,0.693735,All
0.336649,0.696056,-1.78637,0.033256,0.267912,0.696056,All
0.340202,0.698376,-1.7859,0.0333665,0.273467,0.698376,All
0.342074,0.700696,-1.78545,0.033477,0.281411,0.700696,All
0.344949,0.703016,-1.78476,0.0335874,0.282654,0.703016,All
0.354358,0.705336,-1.78211,0.0336979,0.28337,0.705336,All
0.3558,0.707657,-1.78077,0.0338084,0.287053,0.707657,All
0.356846,0.709977,-1.7793,0.0339189,0.288648,0.709977,All
0.359352,0.712297,-1.77795,0.0340294,0.307882,0.712297,All
0.371635,0.714617,-1.77736,0.0341399,0.309929,0.714617,All
0.381388,0.716937,-1.7728,0.0342504,0.313681,0.716937,All
0.386409,0.719258,-1.77179,0.0343608,0.317755,0.719258,All
0.393389,0.721578,-1.76947,0.0344713,0.324386,0.721578,All
0.395513,0.723898,-1.76841,0.0345818,0.335282,0.723898,All
0.399574,0.726218,-1.76723,0.0346923,0.336699,0.726218,All
0.402537,0.728538,-1.76626,0.0348028,0.34744,0.728538,All
0.424711,0.730858,-1.76605,0.0349133,0.386424,0.730858,All
0.445993,0.733179,-1.76486,0.0350238,0.388869,0.733179,All
0.450788,0.735499,-1.76321,0.0351342,0.390985,0.735499,All
0.452348,0.737819,-1.76093,0.0352447,0.397635,0.737819,All
0.452769,0.740139,-1.75995,0.0353552,0.40164,0.740139,All
0.458477,0.742459,-1.75787,0.0354657,0.403516,0.742459,All
0.459693,0.74478,-1.75719,0.0355762,0.413175,0.74478,All
0.471032,0.7471,-1.75259,0.0356867,0.414924,0.7471,All
0.473441,0.74942,-1.75176,0.0357971,0.417287,0.74942,All
0.4767,0.75174,-1.75171,0.0359076,0.418089,0.75174,All
0.481872,0.75406,-1.75052,0.0360181,0.422331,0.75406,All
0.484589,0.756381,-1.74925,0.0361286,0.423493,0.756381,All
0.497216,0.758701,-1.74849,0.0362391,0.429473,0.758701,All
0.499342,0.761021,-1.74836,0.0363496,0.437599,0.761021,All
0.506207,0.763341,-1.74508,0.0364601,0.44318,0.763341,All
0.508055,0.765661,-1.74483,0.0365705,0.457092,0.765661,All
0.522788,0.767981,-1.74424,0.036681,0.461784,0.767981,All
0.548367,0.770302,-1.74405,0.0367915,0.464882,0.770302,All
0.568131,0.772622,-1.74341,0.036902,0.482029,0.772622,All
0.569511,0.774942,-1.74277,0.0370125,0.496237,0.774942,All
0.572309,0.777262,-1.74237,0.037123,0.502743,0.777262,All
0.579676,0.779582,-1.74185,0.0372335,0.510061,0.779582,All
0.580273,0.781903,-1.73974,0.0373439,0.517571,0.781903,All
0.584163,0.784223,-1.73973,0.0374544,0.526769,0.784223,All
0.593196,0.786543,-1.73865,0.0375649,0.526834,0.786543,All
0.596448,0.788863,-1.73715,0.0376754,0.535909,0.788863,All
0.60635,0.791183,-1.73655,0.0377859,0.546025,0.791183,All
0.6086,0.793503,-1.73632,0.0378964,0.546064,0.793503,All
0.613851,0.795824,-1.73598,0.0380069,0.548088,0.795824,All
0.61561,0.798144,-1.7357,0.0381173,0.565626,0.798144,All
0.617369,0.800464,-1.73306,0.0382278,0.567869,0.800464,All
0.617757,0.802784,-1.73275,0.0383383,0.571511,0.802784,All
0.622581,0.805104,-1.73174,0.0384488,0.582319,0.805104,All
0.62304,0.807425,-1.73059,0.0385593,0.585429,0.807425,All
0.62705,0.809745,-1.72986,0.0386698,0.586434,0.809745,All
0.653614,0.812065,-1.72899,0.0387802,0.589331,0.812065,All
0.653976,0.814385,-1.72665,0.0388907,0.602044,0.814385,All
0.660631,0.816705,-1.72608,0.0390012,0.621951,0.816705,All
0.663685,0.819026,-1.72572,0.0391117,0.63157,0.819026,All
0.671918,0.821346,-1.72396,0.0392222,0.643317,0.821346,All
0.672902,0.823666,-1.72362,0.0393327,0.646679,0.823666,All
0.678242,0.825986,-1.72222,0.0394432,0.652119,0.825986,All
0.691017,0.828306,-1.72148,0.0395536,0.655211,0.828306,All
0.693919,0.830626,-1.72004,0.0396641,0.657025,0.830626,All
0.701164,0.832947,-1.71825,0.0397746,0.660418,0.832947,All
0.707027,0.835267,-1.71752,0.0398851,0.677479,0.835267,All
0.724112,0.837587,-1.71573,0.0399956,0.706384,0.837587,All
0.730323,0.839907,-1.71367,0.0401061,0.721306,0.839907,All
0.732682,0.842227,-1.71242,0.0402166,0.723599,0.842227,All
0.741153,0.844548,-1.70886,0.040327,0.725153,0.844548,All
0.755632,0.846868,-1.70692,0.0404375,0.736797,0.846868,All
0.761476,0.849188,-1.70474,0.040548,0.744296,0.849188,All
0.803389,0.851508,-1.70308,0.0406585,0.751554,0.851508,All
0.815631,0.853828,-1.70187,0.040769,0.757241,0.853828,All
