tin_abscissa,tin_cdf,beta_abscissa,beta_cdf,delta_abscissa,delta_cdf,p_abscissa,p_cdf,split
-4.15783,0.166667,1.54234e-08,0.16746,0.613988,0.16746,6349.11,0.166667,All
-4.15111,0.16746,1.54403e-08,0.168254,0.615994,0.168254,6350.87,0.16746,All
-4.10545,0.168254,1.5519e-08,0.169048,0.618482,0.169048,6351.77,0.168254,All
-4.09457,0.169048,1.55661e-08,0.169841,0.619847,0.169841,6353.88,0.169048,All
-4.08658,0.169841,1.55699e-08,0.170635,0.61994,0.170635,6358.1,0.169841,All
-4.07226,0.170635,1.55767e-08,0.171429,0.620592,0.171429,6363.85,0.170635,All
-4.06592,0.171429,1.55795e-08,0.172222,0.623626,0.172222,6364.76,0.171429,All
-4.06399,0.172222,1.5596e-08,0.173016,0.623738,0.173016,6366.29,0.172222,All
-4.06399,0.173016,1.56032e-08,0.17381,0.624559,0.17381,6370.54,0.173016,All
-4.04809,0.17381,1.56157e-08,0.174603,0.624865,0.174603,6373.67,0.17381,All
-4.04404,0.174603,1.56651e-08,0.175397,0.62495,0.175397,6381,0.174603,All
-4.02427,0.175397,1.56683e-08,0.17619,0.627825,0.17619,6383.41,0.175397,All
-4.02273,0.17619,1.57734e-08,0.176984,0.628264,0.176984,6391.77,0.17619,All
-4.02084,0.176984,1.57803e-08,0.177778,0.629616,0.177778,6393.6,0.176984,All
-4.0099,0.177778,1.58099e-08,0.178571,0.629847,0.178571,6398.33,0.177778,All
-3.95583,0.178571,1.58335e-08,0.179365,0.631069,0.179365,6401.44,0.178571,All
-3.95202,0.179365,1.58339e-08,0.180159,0.63207,0.180159,6411.32,0.179365,All
-3.9452,0.180159,1.58403e-08,0.180952,0.633102,0.180952,6411.82,0.180159,All
-3.94077,0.180952,1.58425e-08,0.181746,0.633161,0.181746,6414.48,0.180952,All
-3.93487,0.181746,1.58631e-08,0.18254,0.633161,0.18254,6414.84,0.181746,All
-3.93034,0.18254,1.59073e-08,0.183333,0.63449,0.183333,6416.26,0.18254,All
