standEta_tin_abscissa,standEta_tin_cdf,standEta_beta_abscissa,standEta_beta_cdf,standEta_delta_abscissa,standEta_delta_cdf,standEta_p_abscissa,standEta_p_cdf,split
-0.724425,0.216667,-0.778542,0.216667,-0.760006,0.216667,-0.759256,0.216667,All
-0.722641,0.21746,-0.768137,0.21746,-0.75888,0.21746,-0.758445,0.21746,All
-0.721087,0.218254,-0.768127,0.218254,-0.757175,0.218254,-0.75788,0.218254,All
-0.71709,0.219048,-0.766374,0.219048,-0.752372,0.219048,-0.757241,0.219048,All
-0.711881,0.219841,-0.760889,0.219841,-0.748543,0.219841,-0.751597,0.219841,All
-0.71056,0.220635,-0.760307,0.220635,-0.748235,0.220635,-0.74972,0.220635,All
-0.709584,0.221429,-0.758881,0.221429,-0.748184,0.221429,-0.749126,0.221429,All
-0.70644,0.222222,-0.756986,0.222222,-0.747791,0.222222,-0.744468,0.222222,All
-0.705744,0.223016,-0.756368,0.223016,-0.747243,0.223016,-0.741393,0.223016,All
-0.705428,0.22381,-0.752889,0.22381,-0.746451,0.22381,-0.736108,0.22381,All
